A,B,C,D,E
159227302|Royal Mail|02150222|317180|174761|1|100101043129|osgb1000027169279|7|5801556|1|100.3|220-228|Penarth Road|Leckwith, Cardiff|South Glamorgan|CF11 8TA|Caerdydd - Cardiff|03457740740|www.royalmail.com|Royal Mail|||Local Data Company|2024-12-01,,,
166813528|Cardiff Nails|02100156|316975.1|179023.8|1|100100893218|osgb1000027131562|4|5801470|1|18.9|296|North Road|Gabalfa, Cardiff|South Glamorgan|CF14 3BN|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
146541601|Crystal' Nails|02100156|319655|176962|1|10013747607|osgb1000027252658|6|5800419|1|16.1|133-134, Clifton Street|Adamsdown|Cardiff|South Glamorgan|CF24 1LY|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
169662883|Whitchurch Nails|02100156|315567|179935|1|100100892984|osgb1000027082817|2|5801372|1|16.6|55b|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DD|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
158048515|Dt Nails & Beauty|02100156|320065|176732|1|100100066202|osgb1000027286965|4|5801802|1|11.8|25, Splott Road|Splott|Cardiff|South Glamorgan|CF24 2BU|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
109124214|Aim|02090150|315599.6|176698.9|1|100100071623|osgb1000027074993|4|5800521|3|18|434|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1JN|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
146541616|Easy Life|07370478|314818|179308|1|10090720874|osgb1000027041277|3|5801872|1|14.9|115|Station Road|Llandaff North, Cardiff|South Glamorgan|CF14 2FD|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
168144667|Gelisy|02100156|322027|181438|1|100100899217|osgb1000027355854|4|5800254|1|23.4|185|Burnham Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5NZ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179955466|Ty Caws|09470665|318091|176407|1|100101041135|osgb1000027219407|6|5801032|3|46.8|28|Castle Arcade|Cathays, Cardiff|South Glamorgan|CF10 1BW|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179302129|Coffi Co|09470663|319482.1|174208.2|1|10092986583|osgb5000005251711687|2|5802067|1|18.5||Heol Porth Teigr|Butetown, Cardiff|South Glamorgan|CF10 4PA|Caerdydd - Cardiff||coffico.uk|Coffi Co|||Local Data Company|2024-12-01,,,
179302216|Coffi Co|09470663|317166|176921|1|100100076008|osgb1000027174510|8|5801624|3|10.2|No 73, 73|Cathedral Road|Cardiff|South Glamorgan|CF11 9HE|Caerdydd - Cardiff||coffico.uk|Coffi Co|||Local Data Company|2024-12-01,,,
95798895|The Cheese Stall|09470665|318248.7|176349.2|1|10002521015|osgb1000027219495|5|5801856|1|61.5|Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181108532|The Urban Chocolatier|09470663|319117.2|174511.2|1|10002509704|osgb1000041297440|4|5800258|1|44|Unit 15 Mermaid Quay|Bute Street|Butetown, Cardiff|South Glamorgan|CF10 5BZ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
159227293|Royal Mail|02150222|322539|178712|1|10002509598|osgb1000027348363|11|5803266|1|42|North Eastern Delivery Office Unit 5|Spring Meadow Road|Trowbridge, Cardiff|South Glamorgan|CF3 2ZZ|Caerdydd - Cardiff|03457740740|www.royalmail.com|Royal Mail|||Local Data Company|2024-12-01,,,
146540386|Roath Sports & Social Club|04250314|320058|177269|1|100100067738|osgb1000027290066|4|5800201|1|13.4|124-126|Broadway|Adamsdown, Cardiff|South Glamorgan|CF24 1NL|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
125505773|Beauty Nails|02100156|316340.8|176600.3|1|100100071512|osgb1000027122682|5|5800521|1|14.5|238c|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1GY|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
150976138|Coffi Co|09470663|319129.2|174377.8|1|10002509657|osgb1000041299006|4|5803807|3|81.4|Unit 31 Mermaid Quay|Tacoma Square|Butetown, Cardiff|South Glamorgan|CF10 5BZ|Caerdydd - Cardiff||coffico.uk|Coffi Co|||Local Data Company|2024-12-01,,,
181509448|First Mortgage Shop|02090150|318488|177052|1|100100890472|osgb1000027224089|4|5801430|1|18.3|14|Museum Place|Cathays, Cardiff|South Glamorgan|CF10 3BH|Caerdydd - Cardiff|02920028179|www.firstmortgage.co.uk|First Mortgage Shop|||Local Data Company|2024-12-01,,,
168142743|Middletons|07370478|317314|174910|1|10002506522|osgb1000002706075208|2|5801556|1|53.4|216|Penarth Road|Leckwith, Cardiff|South Glamorgan|CF11 8NN|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
168142650|Corp Market|09470705|316610|176572|1|100100914836|osgb1000027121027|6|5800521|1|20.4|The Corporation Hotel 188|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1GW|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181511047|Lavish Nails & Spa|02100156|315425|180027|1|100100892796|osgb1000027089149|3|5801372|1|19.2|8|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DG|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
166652939|Nailcraft Emporium|02100156|318399|176074|1|100100889958|osgb1000027218958|5|5800318|3|19.2|Unit 19|Wyndham Arcade|Cathays, Cardiff|South Glamorgan|CF10 1FH|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
168142669|Mrs Potts Chocolate House|09470663|318304|176160|1|10092984923|osgb1000027219049|5|5801856|3|22.5|Morgan Quarter,34, St. Mary Street|Riverside|Cardiff|South Glamorgan|CF10 1AB|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,
181108516|Jeans Nails, Pedicures & Spa|02100156|313223|175697.3|1|100100916099|osgb1000027006524|2|5800283|1|22.5|50|Caerau Lane|Caerau, Cardiff|South Glamorgan|CF5 5HQ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,
181108537|Lady Nails|02100156|317767|175971|1|100100891148|osgb1000027171231|6|5801615|3|9.7|40b, Tudor Street|Grangetown|Cardiff|South Glamorgan|CF11 6AH|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181108546|Rosemary Nail & Spa|02100156|317658|175505|1|100100890929|osgb1000027170261|10|5800401|1|12.5|104|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6RT|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181108573|Castle Nails|02100156|318212|176323|1|100101053873|osgb1000027219241|5|5801856|1|16.5|Market Chambers 5-7|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AT|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
171810017|Deluxe Nails|02100156|318460|177944|1|100100028102|osgb1000027222502|5|5803649|3|13.8|28, Crwys Road|City Centre|Cardiff|South Glamorgan|CF24 4NE|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179955673|Sky Nails|02100156|316885|176504|1|100100076521|osgb1000027120907|9|5804644|1|372.4|203|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9AJ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
160705424|Gel-Ous|02100156|316814|179918|1|100100893690|osgb1000027129311|4|5800290|1|24|123, Caerphilly Road|Heath|Cardiff|South Glamorgan|CF14 4QA|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
159226872|Royal Mail|02150222|315129.6|176782.6|1|100100914985|osgb1000027076533|5|5800521|1|19.3|Royal Mail Cardiff West Delivery Office 635-637|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1AX|Caerdydd - Cardiff|03457740740|www.royalmail.com|Royal Mail|||Local Data Company|2024-12-01,,,
164799917|Nail Geeks|02100156|318412|177978|1|10023542846|osgb1000027222520|5|5803649|3|13.5|42, Crwys Road|City Centre|Cardiff|South Glamorgan|CF24 4NE|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179955576|Comfort Palace|02100156|316315|176606|1|100100071513|osgb1000027121966|5|5801598|3|10.8|378, Cowbridge Road East|Town Centre|Cardiff|South Glamorgan|CF5 1GZ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95430264|New Image|02100156|317103|176514|1|100100892325|osgb1000027174962|7|5804644|1|161.7|62|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9DU|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
160706852|The Conservative Association|04250314|316791|180028|1|100100893693|osgb1000027134449|4|5800290|1|34|161-163|Caerphilly Road|Heath, Cardiff|South Glamorgan|CF14 4QB|Caerdydd - Cardiff|02920251771|www.conservatives.com/Together|The Conservative Party|||Local Data Company|2024-12-01,,,
166813516|The Copper Room by Megan Thomas|02100156|317486|178871|1|10013083198|osgb1000027180666|3|5802128|1|22.6|184a|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3NB|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
129851030|George Onikian|02100156|315581|176700|1|100100071626|osgb1000027074990|5|5800521|1|17.6|440|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1JN|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
170784848|De La Sun Tanning Salon|02100156|318374.1|176575.6|1|10094245233|osgb1000027218338|5|5801664|3|40.2|5|Dominions Arcade|Cathays, Cardiff|South Glamorgan|CF10 2AR|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
150976516|My Beauty|02100156|319189|177900|1|100100896862|osgb1000027257492|3|5803649|3|13|7, The Globe Centre, Wellfield Road|Plasnewydd|Cardiff|South Glamorgan|CF24 3PJ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,
181511061|Don Casino|04220280|319698|176949|1|100100896161|osgb1000027252547|7|5800419|1|15.8|24|Clifton Street|Adamsdown, Cardiff|South Glamorgan|CF24 1LQ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95342492|Fino Lounge|01020034|315534|179974|1|100100892783|osgb1000027082823|3|5801372|1|21.7|49|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DB|Caerdydd - Cardiff|02920692616|thelounges.co.uk|Loungers|||Local Data Company|2024-12-01,,,
171810028|Marley's Roots|02100156|319295|177907|1|10013084570|osgb1000027256975|3|5800023|1|18.1|153|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3NT|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95330079|Juno Lounge|01020034|319190|177954|1|100100896844|osgb1000027256997|4|5802092|1|21.3|14|Wellfield Road|Roath, Cardiff|South Glamorgan|CF24 3PB|Caerdydd - Cardiff|02920198990|thelounges.co.uk|Loungers|||Local Data Company|2024-12-01,,,
163655874|United Services Club|04250314|318302|176259|1|10002514648|osgb1000027219088|5|5802125|1|13.1|4|Wharton Street|Cathays, Cardiff|South Glamorgan|CF10 1AG|Caerdydd - Cardiff|02920232078||United Services Club|||Local Data Company|2024-12-01,,,
126945998|Blush|02100156|315457.4|177886.5|1|100100082572|osgb1000027078028|4|5801033|3|17.3|25|High Street|Llandaff, Cardiff|South Glamorgan|CF5 2DY|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181509547|Gloden|02100156|316476.1|178610.7|1|10095462736|osgb1000027128023|6|5802253|1|25.8|Unit 1b Excelsior Industrial Estate|Batchelor Road|Gabalfa, Cardiff|South Glamorgan|CF14 3AX|Caerdydd - Cardiff||gloden.co.uk/|Gloden|||Local Data Company|2024-12-01,,,
181509534|Concept Sunbeds|02100156|319956|179193|1|100100052453|osgb1000027265207|4|5800407|1|16.5|7|Clarendon Road|Penylan, Cardiff|South Glamorgan|CF23 9JD|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181108597|Rawan Hair & Beauty|02100156|318149|178171|1|100100028160|osgb1000027228336|4|5800547|1|15.9|118|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NR|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
166653616|Cleopatra|02100156|319644|177042|1|100100896202|osgb1000027258360|4|5800419|3|12.5|Clifton Street|City Centre|Cardiff|South Glamorgan|CF24 1PW|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,,
146696995|Acute|02100156|319292|177873|1|100100056163|osgb5000005205871749|1|5803649|3|15.4|122, Albany Road|Plasnewydd|Cardiff|South Glamorgan|CF24 3RR|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
169344572|Patty Beauty Hair & Tha Spa|02100156|317680|175981|1|100100080107|osgb1000027171209|3|5801998|1|17.4|48|Tudor Street|Riverside, Cardiff|South Glamorgan|CF11 6AJ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
171810079|Linda's Salon|02100156|318670.2|176591|1|10002516002|osgb1000027218124|3|5800393|3|41.2|Unit 4 Ground Floor|Capitol Arcade|Cathays, Cardiff|South Glamorgan|CF10 2HQ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
160708154|Timba|02100156|316268|181919|1|100100894108|osgb5000005190669677|2|5800960|2|23.7|Heol Llanishen Fach||Cardiff|South Glamorgan|CF14 6RG|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,,
160715065|Mary Salon|02100156|318209|176328|1|200002931807|osgb1000027219242|4|5801856|1|16.8|6a|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AT|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179955698|Glamourous Women|02100156|317661|175452|1|10023549368|osgb1000027173296|5|5800401|1|16.1|110|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6RU|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181113414|Reem Salon|02100156|318822.7|177595.5|1|10095991377|osgb1000027220741|5|5800398|1|15.5|212|City Road|Roath, Cardiff|South Glamorgan|CF24 3JG|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
168141026|Yume|02100156|318334|177285|1|200002931902|osgb1000027224249|6|5803262|3|17|Senghennydd Road||Cardiff|South Glamorgan|CF24 4AZ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,,
111308306|Chi Chi Hairdressing|02100156|317827.9|175944.1|1||osgb1000027171243|5|5801998|3|13.6|12a|Tudor Street|Riverside, Cardiff|South Glamorgan|CF11 6AF|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
181108529|Rey Salon|02100156|316914|176505|1|100100892298|osgb1000027120913|10|5804644|1|343.8|191|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9AJ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179955572|Hairology by Rozeta|02100156|318666|176468|1|100100890245|osgb1000027218739|7|5800393|1|14.6|24|Churchill Way|Cathays, Cardiff|South Glamorgan|CF10 2DY|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179955586|Za Hair & Beauty Turkish Salon|02100156|316778.7|176596.9|1|10023544698|osgb1000027121608|7|5801768|1|45||Severn Road|Pontcanna, Cardiff|South Glamorgan|CF11 9DZ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
170784677|Hudo Lounge|01020034|316718.8|176536.6|1|100101041783|osgb1000027121077|5|5804644|1|541.6|160-162|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9ND|Caerdydd - Cardiff|02921303977|thelounges.co.uk|Loungers|||Local Data Company|2024-12-01,,,
180918854|Lextan|02100156|316647|181380|1|10090487176|osgb1000027139077|5|5804593|1|18.4|Ground Floor 493|Caerphilly Road|Rhiwbina, Cardiff|South Glamorgan|CF14 4SN|Caerdydd - Cardiff|08458387202||Lextan|||Local Data Company|2024-12-01,,,
179296964|Lextan|02100156|320487|177666|1||osgb1000027288502|2|5802079|3|11.8|2c, City Link Retail Park, Newport Road|City Centre|Cardiff|South Glamorgan|CF24 1PQ|Caerdydd - Cardiff|08458387202|www.lextan.co.uk|Lextan|||Local Data Company|2024-12-01,,
169663021|The Signature|02100156|318761.2|178893|1|100100895254|osgb1000027224920|2|5801345|1|17.8|16|Maryport Road|Penylan, Cardiff|South Glamorgan|CF23 5JX|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
133929732|Fresh Look|02100156|317117|176510|1|100100892323|osgb1000027174965|12|5804644|1|147.2|56|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9DU|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179296112|Cliff-Tan Beauty|02100156|319674|176921|1|100100896480|osgb1000027252605|6|5800419|1|18.5|126-127|Clifton Street|Adamsdown, Cardiff|South Glamorgan|CF24 1LX|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179296966|Arez Hair & Beauty|02100156|322418|180842|1|100100110817|osgb1000027351644|2|5800514|1|11.6|68|Countisbury Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5SN|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
150978068|Sultans|02100156|318789|177718|1|100101052853|osgb1000027220479|4|5800023|1|12.5|St Martins Row|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3RP|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
154153452|Susan Hair & Beauty|02100156|319153|176996|1|100100896920|osgb1000027253453|10|5800398|1|20.5|22|City Road|Roath, Cardiff|South Glamorgan|CF24 3DL|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
154153439|Style|02100156|318674.7|177756.3|1|10023546079|osgb1000027220442|5|5804695|1|13.6|7-9|Crwys Road|Roath, Cardiff|South Glamorgan|CF24 4NA|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95328029|Canton Liberal Workmens Club|04250314|316524|176522|1|100101041822|osgb1000027120956|11|5800521|1|38.9|301-303|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1JB|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
171810080|Golf Fang|04240292|318616|176214|1|10008902602|osgb1000043043670|9|5801343|1|14.8|Double Diamond Gaming Ltd T/a Rainbow Casino|Mary Ann Street|Cathays, Cardiff|South Glamorgan|CF10 2EN|Caerdydd - Cardiff||golffang.co.uk|Golf Fang|||Local Data Company|2024-12-01,,,
158048525|Door 2 Door Finance|02090147|320183|176627|1|100100896609|osgb1000027285632|4|5801802|1|13.5|44|Splott Road|Splott, Cardiff|South Glamorgan|CF24 2DA|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
154153875|Footasylum|09460657|318490|176243|1||osgb1000002706067822|11|5803284|3|69.7|85-86, St. Davids Centre, St. Davids Walk|City Centre|Cardiff|South Glamorgan|CF10 2DQ|Caerdydd - Cardiff|02920664032|www.footasylum.com|Footasylum|||Local Data Company|2024-12-01,,
146541521|Van-Dal & Co|09460657|318352|176147|1|100100890102|osgb1000002706072282|1|5801856|3|57.7|18|Royal Arcade|Cathays, Cardiff|South Glamorgan|CF10 1AE|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95798894|J S Carline|09460659|318248.7|176349.2|1|10002521015|osgb1000027219495|5|5801856|1|61.5|Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95330941|Richard Llynfi|09460659|317498|178854|1|100100893370|osgb1000027180670|6|5802128|1|19.4|176|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3NB|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
170784842|Carvela|09460657|318501|176224|1||osgb1000002706067822|11|5803284|3|72.6|8, St. Davids Centre, Grand Arcade|City Centre|Cardiff|South Glamorgan|CF10 2DP|Caerdydd - Cardiff|03330340584||Carvela|||Local Data Company|2024-12-01,,
180920896|In-Time Watch & Jewellery Repairs|09460659|318567|176138|1||osgb1000002706067822|11|5802794|3|28.4|12, St. Davids Centre, Grand Arcade|City Centre|Cardiff|South Glamorgan|CF10 2ER|Caerdydd - Cardiff|02922807500|thewatchlab.co.uk/in-time/|In-Time|||Local Data Company|2024-12-01,,
181113556|John's Watch & Clock Repairs|09460659|312980|175985|1|100100915597|osgb1000026981534|2|5802148|3|13.9|1, 33-35, Wilson Road|Town Centre|Cardiff|South Glamorgan|CF5 4LL|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,
180921695|Astrid & Miyu|09460659|318400.8|176225.8|1|10013748831|osgb1000027219086|7|5801937|1|18.7|16|The Hayes|Cathays, Cardiff|South Glamorgan|CF10 1AH|Caerdydd - Cardiff|02922808972||Astrid & Miyu|||Local Data Company|2024-12-01,,,
150975742|Lovisa|09460659|318519|176274|1||osgb1000002706067822|11|5800190|3|74.9|122-A, St. Davids Centre, Cathedral Walk|City Centre|Cardiff|South Glamorgan|CF10 2DS|Caerdydd - Cardiff|02920028919|www.lovisa.co.uk|Lovisa|||Local Data Company|2024-12-01,,
169348797|Shuropody|05280333|318506|176493|1|100101041388|osgb1000027219193|14|5801664|3|66.2|134, St. Davids Centre, Cathedral Walk|City Centre|Cardiff|South Glamorgan|CF10 2AT|Caerdydd - Cardiff|02920227988|www.shuropody.com|Shuropody|||Local Data Company|2024-12-01,,
168142666|Laura May Bridal|09460656|318347.3|176182.8|1|10023542193|osgb1000027219053|5|5802244|3|35.4|22-24|Morgan Arcade|Cathays, Cardiff|South Glamorgan|CF10 1AF|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95348196|Crouch the Goldsmiths|09460659|318499|176509.3|1|100101041384|osgb1000027218264|6|5801664|3|48.8|13|Cathedral Walk|Cathays, Cardiff|South Glamorgan|CF10 2DS|Caerdydd - Cardiff|02920341795|www.fraserhart.co.uk|Fraser Hart|||Local Data Company|2024-12-01,,,
104036770|Vans|09460657|318488|176483|1|100101041391|osgb1000027219197|12|5801664|3|72.1|80, St. Davids Centre, The Hayes|Riverside|Cardiff|South Glamorgan|CF10 1GA|Caerdydd - Cardiff|02920668453|shop.vans.co.uk|Vans|||Local Data Company|2024-12-01,,
170784693|J1 Studios|05320384|318698|177725|1|200001597362|osgb1000027220448|4|5804695|3|24.7|199-201, Richmond Road|Plasnewydd|Cardiff|South Glamorgan|CF24 3BX|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
146540321|Yc Sports|09460656|315416|180089|1|100100123016|osgb1000027088807|3|5801570|1|16.7|5, Penlline Road|Whitchurch|Cardiff|South Glamorgan|CF14 2AA|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
162364361|Neil Rayment|09460659|319075|174634|1|100100890650|osgb1000027250725|6|5800258|1|31.5|103, Bute Street|Butetown|Cardiff|South Glamorgan|CF10 5AD|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
145871660|Village Hall|06340456|311723|183553|1|10002527771|osgb1000026960955|4|5803595|3|9.6|Main Road|||South Glamorgan|CF15 9HH|Caerdydd - Cardiff||||||Ordnance Survey|2024-12-01,,,,
102653201|Dr. Martens|09460657|318417|176187|1|100100890168|osgb1000027219017|4|5801937|1|19.2|36|The Hayes|Cathays, Cardiff|South Glamorgan|CF10 1AJ|Caerdydd - Cardiff|02920389241||Dr. Martens|||Local Data Company|2024-12-01,,,
150980205|Wed2b|09460656|317248|176428|1|200001855161|osgb1000027176296|8|5802093|1|15.3|Wellington House 1-9|Wellington Street|Riverside, Cardiff|South Glamorgan|CF11 9BE|Caerdydd - Cardiff|02920026379|www.wed2b.com|Wed2B|||Local Data Company|2024-12-01,,,
164799850|Planet 3 Wealth|02090147|314861|179376|1|100101043560|osgb1000027041468|3|5803643|3|12.8|116, Station Road|Gabalfa|Cardiff|South Glamorgan|CF14 2FH|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95244665|Watches of Switzerland Ltd|09460659|318405.8|176433.4|1|10002530744|osgb1000027219205|5|5803284|3|83.9|21-23|St Davids Way|Cathays, Cardiff|South Glamorgan|CF10 2DP|Caerdydd - Cardiff|02920340300|www.watches-of-switzerland.co.uk|Watches of Switzerland|||Local Data Company|2024-12-01,,,
170785456|Laings|09460659|318451|176218.2|1|10023546833|osgb1000002706067822|11|5801937|1|24.1|Parkhouse Jewellers 27|The Hayes|Cathays, Cardiff|South Glamorgan|CF10 1GA|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
129852181|Swarovski UK Ltd|09460659|318486.9|176491.9|1|100101041389|osgb1000027219196|6|5801664|3|63.1|20|Cathedral Walk|Cathays, Cardiff|South Glamorgan|CF10 2DS|Caerdydd - Cardiff|02920233590|www.swarovski.com/en_GB-GB/Web_GB/en/index/|Swarovski|||Local Data Company|2024-12-01,,,
118140444|Clogau|09460659|318512|176201|1||osgb1000002706067822|11|5802794|3|62.3|17, St. Davids Centre, Hayes Arcade|City Centre|Cardiff|South Glamorgan|CF10 2EJ|Caerdydd - Cardiff|02921320300|www.clogau.co.uk|Clogau|||Local Data Company|2024-12-01,,
166652946|Brooklinde|07370487|318367|176159|1|100100890107|osgb1000027219006|5|5802244|3|62.1|26|Royal Arcade|Cathays, Cardiff|South Glamorgan|CF10 1AE|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
95244482|Crystals|09460659|318098|176378|1|100100890165|osgb1000027219353|6|5803123|3|45.7|15|Castle Arcade|Cathays, Cardiff|South Glamorgan|CF10 1BU|Caerdydd - Cardiff|02920225282|www.crystalshop.co.uk|Crystals|||Local Data Company|2024-12-01,,,
95244587|Clarks|09460657|318692|176682|1|10002531323|osgb1000042922560|4|5801664|1|32|127|Queen Street|Cathays, Cardiff|South Glamorgan|CF10 2BJ|Caerdydd - Cardiff|02920390619|www.clarks.com/en-gb/|Clarks|||Local Data Company|2024-12-01,,,
160708153|Ingram Evans Care|02110195|316726|180723|1|100100893698|osgb1000027132751|4|5800290|1|24|359|Caerphilly Road|Heath, Cardiff|South Glamorgan|CF14 4QF|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
124036700|Michelle's Bridal|09460656|318160.9|178127.1|1|10023549031|osgb1000027228178|4|5803649|3|12.7|127|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NG|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
150975397|Kurt Geiger|09460657|318523.7|176142.6|1|10023547056|osgb1000002706067822|11|5802794|3|55.4|7 St David's Dewi Sant|Grand Arcade|Cathays, Cardiff|South Glamorgan|CF10 2ER|Caerdydd - Cardiff|03330340524|www.kurtgeiger.com|Kurt Geiger|||Local Data Company|2024-12-01,,,
179296114|Sierra Tailors Ltd|02100776|319698|176887|1|100100896185|osgb1000027252103|6|5800419|1|14.4|121|Clifton Street|Adamsdown, Cardiff|South Glamorgan|CF24 1LW|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
179296857|Glamorgan Tailoring|02100776|315566|179894|1|10023549849|osgb1000027082901|2|5801372|1|12.5|Suite 3 Codas House 52-60|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DJ|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
104045084|Allied Surveyors|02110195|318979|174623|1|100101053555|osgb1000027214404|3|5801421|1|8.6|Colum Buildings 13|Mount Stuart Square|Butetown, Cardiff|South Glamorgan|CF10 5EE|Caerdydd - Cardiff|02920475188|www.alliedsurveyors.com/|Allied Surveyors|||Local Data Company|2024-12-01,,,
166812285|Fpb (Financial Planning Business Ltd)|02090147|313307|180382|1|100100894837|osgb1000027017335|9|5801871|1|15.8|5|Station Road|Radyr, Cardiff|South Glamorgan|CF15 8AA|Caerdydd - Cardiff||||||Local Data Company|2024-12-01,,,
